1s+PRES+kuacha	I leave	ninaacha
3s+PAST+kuhakikisha	(s)he confirmed	alihakikisha
3s+FUT+kuhakikisha	(s)he will confirm	atahakikisha
3s+PERF+kuhakikisha	(s)he has confirmed	amehakikisha
NEG+3s+PRES+kuhakikisha	(s)he does not confirm	hahakikishi
NEG+3s+PAST+kuhakikisha	(s)he did not confirm	hakuhakikisha
NEG+3s+FUT+kuhakikisha	(s)he will not confirm	hatahakikisha
NEG+3s+PERF+kuhakikisha	(s)he has not confirmed	hajahakikisha
3p+PRES+kuhakikisha	they confirm	wanahakikisha
3p+PAST+kuhakikisha	they confirmed	walihakikisha
3p+FUT+kuhakikisha	they will confirm	watahakikisha
3p+PERF+kuhakikisha	they have confirmed	wamehakikisha
NEG+3p+PRES+kuhakikisha	they do not confirm	hawahakikishi
NEG+3p+PAST+kuhakikisha	they did not confirm	hawakuhakikisha
NEG+3p+FUT+kuhakikisha	they will not confirm	hawatahakikisha
NEG+3p+PERF+kuhakikisha	they have not confirmed	hawajahakikisha
2s+IMP+kuhakikisha	confirm	hakikisha
2p+IMP+kuhakikisha	confirm	hakikisheni
1s+PRES+kuhisi	I feel	ninahisi
1s+PAST+kuhisi	I felt	nilihisi
1s+FUT+kuhisi	I will feel	nitahisi
1s+PERF+kuhisi	I have felt	nimehisi
NEG+1s+PRES+kuhisi	I do not feel	sihisi
NEG+1s+PAST+kuhisi	I did not feel	sikuhisi
NEG+1s+FUT+kuhisi	I will not feel	sitahisi
NEG+1s+PERF+kuhisi	I have not felt	sijahisi
1p+PRES+kuhisi	we feel	tunahisi
1p+PAST+kuhisi	we felt	tulihisi
1p+FUT+kuhisi	we will feel	tutahisi
1p+PERF+kuhisi	we have felt	tumehisi
NEG+1p+PRES+kuhisi	we do not feel	hatuhisi
NEG+1p+PAST+kuhisi	we did not feel	hatukuhisi
NEG+1p+FUT+kuhisi	we will not feel	hatutahisi
NEG+1p+PERF+kuhisi	we have not felt	hatujahisi
2s+PRES+kuhisi	you feel	unahisi
2s+PAST+kuhisi	you felt	ulihisi
2s+FUT+kuhisi	you will feel	utahisi
2s+PERF+kuhisi	you have felt	umehisi
NEG+2s+PRES+kuhisi	you do not feel	huhisi
NEG+2s+PAST+kuhisi	you did not feel	hukuhisi
NEG+2s+FUT+kuhisi	you will not feel	hutahisi
NEG+2s+PERF+kuhisi	you have not felt	hujahisi
2p+PRES+kuhisi	you feel	mnahisi
2p+PAST+kuhisi	you felt	mlihisi
2p+FUT+kuhisi	you will feel	mtahisi
2p+PERF+kuhisi	you have felt	mmehisi
NEG+2p+PRES+kuhisi	you do not feel	hamhisi
NEG+2p+PAST+kuhisi	you did not feel	hamkuhisi
NEG+2p+FUT+kuhisi	you will not feel	hamtahisi
NEG+2p+PERF+kuhisi	you have not felt	hamjahisi
3s+PRES+kuhisi	(s)he feels	anahisi
3s+PAST+kuhisi	(s)he felt	alihisi
3s+FUT+kuhisi	(s)he will feel	atahisi
3s+PERF+kuhisi	(s)he has felt	amehisi
NEG+3s+PRES+kuhisi	(s)he does not feel	hahisi
NEG+3s+PAST+kuhisi	(s)he did not feel	hakuhisi
NEG+3s+FUT+kuhisi	(s)he will not feel	hatahisi
NEG+3s+PERF+kuhisi	(s)he has not felt	hajahisi
3p+PRES+kuhisi	they feel	wanahisi
3p+PAST+kuhisi	they felt	walihisi
3p+FUT+kuhisi	they will feel	watahisi
3p+PERF+kuhisi	they have felt	wamehisi
NEG+3p+PRES+kuhisi	they do not feel	hawahisi
NEG+3p+PAST+kuhisi	they did not feel	hawakuhisi
NEG+3p+FUT+kuhisi	they will not feel	hawatahisi
NEG+3p+PERF+kuhisi	they have not felt	hawajahisi
2s+IMP+kuhisi	feel	hisi
2p+IMP+kuhisi	feel	hisini
1s+PRES+kuhitaji	I need	ninahitaji
1s+PAST+kuhitaji	I needed	nilihitaji
1s+FUT+kuhitaji	I will need	nitahitaji
1s+PERF+kuhitaji	I have needed	nimehitaji
NEG+1s+PRES+kuhitaji	I do not need	sihitaji
NEG+1s+PAST+kuhitaji	I did not need	sikuhitaji
NEG+1s+FUT+kuhitaji	I will not need	sitahitaji
NEG+1s+PERF+kuhitaji	I have not needed	sijahitaji
1p+PRES+kuhitaji	we need	tunahitaji
1p+PAST+kuhitaji	we needed	tulihitaji
1p+FUT+kuhitaji	we will need	tutahitaji
1p+PERF+kuhitaji	we have needed	tumehitaji
NEG+1p+PRES+kuhitaji	we do not need	hatuhitaji
NEG+1p+PAST+kuhitaji	we did not need	hatukuhitaji
NEG+1p+FUT+kuhitaji	we will not need	hatutahitaji
NEG+1p+PERF+kuhitaji	we have not needed	hatujahitaji
2s+PRES+kuhitaji	you need	unahitaji
2s+PAST+kuhitaji	you needed	ulihitaji
2s+FUT+kuhitaji	you will need	utahitaji
2s+PERF+kuhitaji	you have needed	umehitaji
NEG+2s+PRES+kuhitaji	you do not need	huhitaji
NEG+2s+PAST+kuhitaji	you did not need	hukuhitaji
NEG+2s+FUT+kuhitaji	you will not need	hutahitaji
NEG+2s+PERF+kuhitaji	you have not needed	hujahitaji
2p+PRES+kuhitaji	you need	mnahitaji
2p+PAST+kuhitaji	you needed	mlihitaji
2p+FUT+kuhitaji	you will need	mtahitaji
2p+PERF+kuhitaji	you have needed	mmehitaji
NEG+2p+PRES+kuhitaji	you do not need	hamhitaji
NEG+2p+PAST+kuhitaji	you did not need	hamkuhitaji
NEG+2p+FUT+kuhitaji	you will not need	hamtahitaji
NEG+2p+PERF+kuhitaji	you have not needed	hamjahitaji
3s+PRES+kuhitaji	(s)he needs	anahitaji
3s+PAST+kuhitaji	(s)he needed	alihitaji
3s+FUT+kuhitaji	(s)he will need	atahitaji
3s+PERF+kuhitaji	(s)he has needed	amehitaji
NEG+3s+PRES+kuhitaji	(s)he does not need	hahitaji
NEG+3s+PAST+kuhitaji	(s)he did not need	hakuhitaji
NEG+3s+FUT+kuhitaji	(s)he will not need	hatahitaji
NEG+3s+PERF+kuhitaji	(s)he has not needed	hajahitaji
3p+PRES+kuhitaji	they need	wanahitaji
3p+PAST+kuhitaji	they needed	walihitaji
3p+FUT+kuhitaji	they will need	watahitaji
3p+PERF+kuhitaji	they have needed	wamehitaji
NEG+3p+PRES+kuhitaji	they do not need	hawahitaji
NEG+3p+PAST+kuhitaji	they did not need	hawakuhitaji
NEG+3p+FUT+kuhitaji	they will not need	hawatahitaji
NEG+3p+PERF+kuhitaji	they have not needed	hawajahitaji
2s+IMP+kuhitaji	need	hitaji
2p+IMP+kuhitaji	need	hitajini
1s+PRES+kuiba	I steal	ninaiba
1s+PAST+kuiba	I stole	niliiba
1s+FUT+kuiba	I will steal	nitaiba
1s+PERF+kuiba	I have stolen	nimeiba
NEG+1s+PRES+kuiba	I do not steal	siibi
NEG+1s+PAST+kuiba	I did not steal	sikuiba
NEG+1s+FUT+kuiba	I will not steal	sitaiba
NEG+1s+PERF+kuiba	I have not stolen	sijaiba
1p+PRES+kuiba	we steal	tunaiba
1p+PAST+kuiba	we stole	tuliiba
1p+FUT+kuiba	we will steal	tutaiba
1p+PERF+kuiba	we have stolen	tumeiba
NEG+1p+PRES+kuiba	we do not steal	hatuibi
NEG+1p+PAST+kuiba	we did not steal	hatukuiba
NEG+1p+FUT+kuiba	we will not steal	hatutaiba
NEG+1p+PERF+kuiba	we have not stolen	hatujaiba
2s+PRES+kuiba	you steal	unaiba
2s+PAST+kuiba	you stole	uliiba
2s+FUT+kuiba	you will steal	utaiba
2s+PERF+kuiba	you have stolen	umeiba
NEG+2s+PRES+kuiba	you do not steal	huibi
NEG+2s+PAST+kuiba	you did not steal	hukuiba
NEG+2s+FUT+kuiba	you will not steal	hutaiba
NEG+2s+PERF+kuiba	you have not stolen	hujaiba
2p+PRES+kuiba	you steal	mnaiba
2p+PAST+kuiba	you stole	mliiba
2p+FUT+kuiba	you will steal	mtaiba
2p+PERF+kuiba	you have stolen	mmeiba
NEG+2p+PRES+kuiba	you do not steal	hamibi
NEG+2p+PAST+kuiba	you did not steal	hamkuiba
NEG+2p+FUT+kuiba	you will not steal	hamtaiba
NEG+2p+PERF+kuiba	you have not stolen	hamjaiba
3s+PRES+kuiba	(s)he steals	anaiba
3s+PAST+kuiba	(s)he stole	aliiba
3s+FUT+kuiba	(s)he will steal	ataiba
3s+PERF+kuiba	(s)he has stolen	ameiba
NEG+3s+PRES+kuiba	(s)he does not steal	haibi
NEG+3s+PAST+kuiba	(s)he did not steal	hakuiba
NEG+3s+FUT+kuiba	(s)he will not steal	hataiba
NEG+3s+PERF+kuiba	(s)he has not stolen	hajaiba
3p+PRES+kuiba	they steal	wanaiba
3p+PAST+kuiba	they stole	waliiba
3p+FUT+kuiba	they will steal	wataiba
3p+PERF+kuiba	they have stolen	wameiba
NEG+3p+PRES+kuiba	they do not steal	hawaibi
NEG+3p+PAST+kuiba	they did not steal	hawakuiba
NEG+3p+FUT+kuiba	they will not steal	hawataiba
NEG+3p+PERF+kuiba	they have not stolen	hawajaiba
2s+IMP+kuiba	steal	iba
2p+IMP+kuiba	steal	ibeni
1s+PRES+kuimba	I sing	ninaimba
1s+PAST+kuimba	I sang	niliimba
1s+FUT+kuimba	I will sing	nitaimba
1s+PERF+kuimba	I have sung	nimeimba
NEG+1s+PRES+kuimba	I do not sing	siimbi
NEG+1s+PAST+kuimba	I did not sing	sikuimba
NEG+1s+FUT+kuimba	I will not sing	sitaimba
NEG+1s+PERF+kuimba	I have not sung	sijaimba
1p+PRES+kuimba	we sing	tunaimba
1p+PAST+kuimba	we sang	tuliimba
1p+FUT+kuimba	we will sing	tutaimba
1p+PERF+kuimba	we have sung	tumeimba
NEG+1p+PRES+kuimba	we do not sing	hatuimbi
NEG+1p+PAST+kuimba	we did not sing	hatukuimba
NEG+1p+FUT+kuimba	we will not sing	hatutaimba
NEG+1p+PERF+kuimba	we have not sung	hatujaimba
2s+PRES+kuimba	you sing	unaimba
2s+PAST+kuimba	you sang	uliimba
2s+FUT+kuimba	you will sing	utaimba
2s+PERF+kuimba	you have sung	umeimba
NEG+2s+PRES+kuimba	you do not sing	huimbi
NEG+2s+PAST+kuimba	you did not sing	hukuimba
NEG+2s+FUT+kuimba	you will not sing	hutaimba
NEG+2s+PERF+kuimba	you have not sung	hujaimba
2p+PRES+kuimba	you sing	mnaimba
2p+PAST+kuimba	you sang	mliimba
2p+FUT+kuimba	you will sing	mtaimba
2p+PERF+kuimba	you have sung	mmeimba
NEG+2p+PRES+kuimba	you do not sing	hamimbi
NEG+2p+PAST+kuimba	you did not sing	hamkuimba
NEG+2p+FUT+kuimba	you will not sing	hamtaimba
NEG+2p+PERF+kuimba	you have not sung	hamjaimba
3s+PRES+kuimba	(s)he sings	anaimba
3s+PAST+kuimba	(s)he sang	aliimba
3s+FUT+kuimba	(s)he will sing	ataimba
3s+PERF+kuimba	(s)he has sung	ameimba
NEG+3s+PRES+kuimba	(s)he does not sing	haimbi
NEG+3s+PAST+kuimba	(s)he did not sing	hakuimba
NEG+3s+FUT+kuimba	(s)he will not sing	hataimba
NEG+3s+PERF+kuimba	(s)he has not sung	hajaimba
3p+PRES+kuimba	they sing	wanaimba
3p+PAST+kuimba	they sang	waliimba
3p+FUT+kuimba	they will sing	wataimba
3p+PERF+kuimba	they have sung	wameimba
NEG+3p+PRES+kuimba	they do not sing	hawaimbi
NEG+3p+PAST+kuimba	they did not sing	hawakuimba
NEG+3p+FUT+kuimba	they will not sing	hawataimba
NEG+3p+PERF+kuimba	they have not sung	hawajaimba
2s+IMP+kuimba	sing	imba
2p+IMP+kuimba	sing	imbeni
1s+PRES+kuingia	I enter	ninaingia
1s+PAST+kuingia	I entered	niliingia
1s+FUT+kuingia	I will enter	nitaingia
1s+PERF+kuingia	I have entered	nimeingia
NEG+1s+PRES+kuingia	I do not enter	siingii
NEG+1s+PAST+kuingia	I did not enter	sikuingia
NEG+1s+FUT+kuingia	I will not enter	sitaingia
NEG+1s+PERF+kuingia	I have not entered	sijaingia
1p+PRES+kuingia	we enter	tunaingia
1p+PAST+kuingia	we entered	tuliingia
1p+FUT+kuingia	we will enter	tutaingia
1p+PERF+kuingia	we have entered	tumeingia
NEG+1p+PRES+kuingia	we do not enter	hatuingii
NEG+1p+PAST+kuingia	we did not enter	hatukuingia
NEG+1p+FUT+kuingia	we will not enter	hatutaingia
NEG+1p+PERF+kuingia	we have not entered	hatujaingia
2s+PRES+kuingia	you enter	unaingia
2s+PAST+kuingia	you entered	uliingia
2s+FUT+kuingia	you will enter	utaingia
2s+PERF+kuingia	you have entered	umeingia
NEG+2s+PRES+kuingia	you do not enter	huingii
NEG+2s+PAST+kuingia	you did not enter	hukuingia
NEG+2s+FUT+kuingia	you will not enter	hutaingia
NEG+2s+PERF+kuingia	you have not entered	hujaingia
2p+PRES+kuingia	you enter	mnaingia
2p+PAST+kuingia	you entered	mliingia
2p+FUT+kuingia	you will enter	mtaingia
2p+PERF+kuingia	you have entered	mmeingia
NEG+2p+PRES+kuingia	you do not enter	hamingii
NEG+2p+PAST+kuingia	you did not enter	hamkuingia
NEG+2p+FUT+kuingia	you will not enter	hamtaingia
NEG+2p+PERF+kuingia	you have not entered	hamjaingia
3s+PRES+kuingia	(s)he enters	anaingia
3s+PAST+kuingia	(s)he entered	aliingia
3s+FUT+kuingia	(s)he will enter	ataingia
3s+PERF+kuingia	(s)he has entered	ameingia
NEG+3s+PRES+kuingia	(s)he does not enter	haingii
NEG+3s+PAST+kuingia	(s)he did not enter	hakuingia
NEG+3s+FUT+kuingia	(s)he will not enter	hataingia
NEG+3s+PERF+kuingia	(s)he has not entered	hajaingia
3p+PRES+kuingia	they enter	wanaingia
3p+PAST+kuingia	they entered	waliingia
3p+FUT+kuingia	they will enter	wataingia
3p+PERF+kuingia	they have entered	wameingia
NEG+3p+PRES+kuingia	they do not enter	hawaingii
NEG+3p+PAST+kuingia	they did not enter	hawakuingia
NEG+3p+FUT+kuingia	they will not enter	hawataingia
NEG+3p+PERF+kuingia	they have not entered	hawajaingia
2s+IMP+kuingia	enter	ingia
2p+IMP+kuingia	enter	ingieni
1s+PRES+kuisha	I end	ninaisha
1s+PAST+kuisha	I ended	niliisha
1s+FUT+kuisha	I will end	nitaisha
1s+PERF+kuisha	I have ended	nimeisha
NEG+1s+PRES+kuisha	I do not end	siishi
NEG+1s+PAST+kuisha	I did not end	sikuisha
NEG+1s+FUT+kuisha	I will not end	sitaisha
NEG+1s+PERF+kuisha	I have not ended	sijaisha
1p+PRES+kuisha	we end	tunaisha
1p+PAST+kuisha	we ended	tuliisha
1p+FUT+kuisha	we will end	tutaisha
1p+PERF+kuisha	we have ended	tumeisha
NEG+1p+PRES+kuisha	we do not end	hatuishi
NEG+1p+PAST+kuisha	we did not end	hatukuisha
NEG+1p+FUT+kuisha	we will not end	hatutaisha
NEG+1p+PERF+kuisha	we have not ended	hatujaisha
2s+PRES+kuisha	you end	unaisha
2s+PAST+kuisha	you ended	uliisha
2s+FUT+kuisha	you will end	utaisha
2s+PERF+kuisha	you have ended	umeisha
NEG+2s+PRES+kuisha	you do not end	huishi
NEG+2s+PAST+kuisha	you did not end	hukuisha
NEG+2s+FUT+kuisha	you will not end	hutaisha
NEG+2s+PERF+kuisha	you have not ended	hujaisha
2p+PRES+kuisha	you end	mnaisha
2p+PAST+kuisha	you ended	mliisha
2p+FUT+kuisha	you will end	mtaisha
2p+PERF+kuisha	you have ended	mmeisha
NEG+2p+PRES+kuisha	you do not end	hamishi
NEG+2p+PAST+kuisha	you did not end	hamkuisha
NEG+2p+FUT+kuisha	you will not end	hamtaisha
NEG+2p+PERF+kuisha	you have not ended	hamjaisha
3s+PRES+kuisha	(s)he ends	anaisha
3s+PAST+kuisha	(s)he ended	aliisha
3s+FUT+kuisha	(s)he will end	ataisha
3s+PERF+kuisha	(s)he has ended	ameisha
NEG+3s+PRES+kuisha	(s)he does not end	haishi
NEG+3s+PAST+kuisha	(s)he did not end	hakuisha
NEG+3s+FUT+kuisha	(s)he will not end	hataisha
NEG+3s+PERF+kuisha	(s)he has not ended	hajaisha
3p+PRES+kuisha	they end	wanaisha
3p+PAST+kuisha	they ended	waliisha
3p+FUT+kuisha	they will end	wataisha
3p+PERF+kuisha	they have ended	wameisha
NEG+3p+PRES+kuisha	they do not end	hawaishi
NEG+3p+PAST+kuisha	they did not end	hawakuisha
NEG+3p+FUT+kuisha	they will not end	hawataisha
NEG+3p+PERF+kuisha	they have not ended	hawajaisha
2s+IMP+kuisha	end	isha
2p+IMP+kuisha	end	isheni
1s+PRES+kuishi	I live	ninaishi
1s+PAST+kuishi	I lived	niliishi
1s+FUT+kuishi	I will live	nitaishi
1s+PERF+kuishi	I have lived	nimeishi
NEG+1s+PRES+kuishi	I do not live	siishi
NEG+1s+PAST+kuishi	I did not live	sikuishi
NEG+1s+FUT+kuishi	I will not live	sitaishi
NEG+1s+PERF+kuishi	I have not lived	sijaishi
1p+PRES+kuishi	we live	tunaishi
1p+PAST+kuishi	we lived	tuliishi
1p+FUT+kuishi	we will live	tutaishi
1p+PERF+kuishi	we have lived	tumeishi
NEG+1p+PRES+kuishi	we do not live	hatuishi
NEG+1p+PAST+kuishi	we did not live	hatukuishi
NEG+1p+FUT+kuishi	we will not live	hatutaishi
NEG+1p+PERF+kuishi	we have not lived	hatujaishi
2s+PRES+kuishi	you live	unaishi
2s+PAST+kuishi	you lived	uliishi
2s+FUT+kuishi	you will live	utaishi
2s+PERF+kuishi	you have lived	umeishi
NEG+2s+PRES+kuishi	you do not live	huishi
NEG+2s+PAST+kuishi	you did not live	hukuishi
NEG+2s+FUT+kuishi	you will not live	hutaishi
NEG+2s+PERF+kuishi	you have not lived	hujaishi
2p+PRES+kuishi	you live	mnaishi
2p+PAST+kuishi	you lived	mliishi
2p+FUT+kuishi	you will live	mtaishi
2p+PERF+kuishi	you have lived	mmeishi
NEG+2p+PRES+kuishi	you do not live	hamishi
NEG+2p+PAST+kuishi	you did not live	hamkuishi
NEG+2p+FUT+kuishi	you will not live	hamtaishi
NEG+2p+PERF+kuishi	you have not lived	hamjaishi
3s+PRES+kuishi	(s)he lives	anaishi
3s+PAST+kuishi	(s)he lived	aliishi
3s+FUT+kuishi	(s)he will live	ataishi
3s+PERF+kuishi	(s)he has lived	ameishi
NEG+3s+PRES+kuishi	(s)he does not live	haishi
NEG+3s+PAST+kuishi	(s)he did not live	hakuishi
NEG+3s+FUT+kuishi	(s)he will not live	hataishi
NEG+3s+PERF+kuishi	(s)he has not lived	hajaishi
3p+PRES+kuishi	they live	wanaishi
3p+PAST+kuishi	they lived	waliishi
3p+FUT+kuishi	they will live	wataishi
3p+PERF+kuishi	they have lived	wameishi
NEG+3p+PRES+kuishi	they do not live	hawaishi
NEG+3p+PAST+kuishi	they did not live	hawakuishi
NEG+3p+FUT+kuishi	they will not live	hawataishi
NEG+3p+PERF+kuishi	they have not lived	hawajaishi
2s+IMP+kuishi	live	ishi
2p+IMP+kuishi	live	ishini
1s+PRES+kuitwa	I am named	ninaitwa
1s+PAST+kuitwa	I was named	niliitwa
1s+FUT+kuitwa	I will be named	nitaitwa
1s+PERF+kuitwa	I have been named	nimeitwa
NEG+1s+PRES+kuitwa	I am not named	siitwi
NEG+1s+PAST+kuitwa	I was not named	sikuitwa
NEG+1s+FUT+kuitwa	I will not be named	sitaitwa
NEG+1s+PERF+kuitwa	I have not been named	sijaitwa
1p+PRES+kuitwa	we are named	tunaitwa
1p+PAST+kuitwa	we were named	tuliitwa
1p+FUT+kuitwa	we will be named	tutaitwa
1p+PERF+kuitwa	we have been named	tumeitwa
NEG+1p+PRES+kuitwa	we are not named	hatuitwi
NEG+1p+PAST+kuitwa	we were not named	hatukuitwa
NEG+1p+FUT+kuitwa	we will not be named	hatutaitwa
NEG+1p+PERF+kuitwa	we have not been named	hatujaitwa
2s+PRES+kuitwa	you are named	unaitwa
2s+PAST+kuitwa	you were named	uliitwa
2s+FUT+kuitwa	you will be named	utaitwa
2s+PERF+kuitwa	you have been named	umeitwa
NEG+2s+PRES+kuitwa	you are not named	huitwi
NEG+2s+PAST+kuitwa	you were not named	hukuitwa
NEG+2s+FUT+kuitwa	you will not be named	hutaitwa
NEG+2s+PERF+kuitwa	you have not been named	hujaitwa
2p+PRES+kuitwa	you are named	mnaitwa
2p+PAST+kuitwa	you were named	mliitwa
2p+FUT+kuitwa	you will be named	mtaitwa
2p+PERF+kuitwa	you have been named	mmeitwa
NEG+2p+PRES+kuitwa	you are not named	hamitwi
NEG+2p+PAST+kuitwa	you were not named	hamkuitwa
NEG+2p+FUT+kuitwa	you will not be named	hamtaitwa
NEG+2p+PERF+kuitwa	you have not been named	hamjaitwa
3s+PRES+kuitwa	(s)he is named	anaitwa
3s+PAST+kuitwa	(s)he was named	aliitwa
3s+FUT+kuitwa	(s)he will be named	ataitwa
3s+PERF+kuitwa	(s)he has been named	ameitwa
NEG+3s+PRES+kuitwa	(s)he is not named	haitwi
NEG+3s+PAST+kuitwa	(s)he was not named	hakuitwa
NEG+3s+FUT+kuitwa	(s)he will not be named	hataitwa
NEG+3s+PERF+kuitwa	(s)he has not been named	hajaitwa
3p+PRES+kuitwa	they are named	wanaitwa
3p+PAST+kuitwa	they were named	waliitwa
3p+FUT+kuitwa	they will be named	wataitwa
3p+PERF+kuitwa	they have been named	wameitwa
NEG+3p+PRES+kuitwa	they are not named	hawaitwi
NEG+3p+PAST+kuitwa	they were not named	hawakuitwa
NEG+3p+FUT+kuitwa	they will not be named	hawataitwa
NEG+3p+PERF+kuitwa	they have not been named	hawajaitwa
2s+IMP+kuitwa	be named	itwa
2p+IMP+kuitwa	be named	itweni
1s+PRES+kuja	I come	ninakuja
1s+PAST+kuja	I came	nilikuja
1s+FUT+kuja	I will come	nitakuja
1s+PERF+kuja	I have come	nimekuja
NEG+1s+PRES+kuja	I do not come	siji
NEG+1s+PAST+kuja	I did not come	sikuja
NEG+1s+FUT+kuja	I will not come	sitakuja
NEG+1s+PERF+kuja	I have not come	sijaja
1p+PRES+kuja	we come	tunakuja
1p+PAST+kuja	we came	tulikuja
1p+FUT+kuja	we will come	tutakuja
1p+PERF+kuja	we have come	tumekuja
NEG+1p+PRES+kuja	we do not come	hatuji
NEG+1p+PAST+kuja	we did not come	hatukuja
NEG+1p+FUT+kuja	we will not come	hatutaja
NEG+1p+PERF+kuja	we have not come	hatujaja
2s+PRES+kuja	you come	unakuja
2s+PAST+kuja	you came	ulikuja
2s+FUT+kuja	you will come	utakuja
2s+PERF+kuja	you have come	umekuja
NEG+2s+PRES+kuja	you do not come	huji
NEG+2s+PAST+kuja	you did not come	hukuja
NEG+2s+FUT+kuja	you will not come	hutaja
NEG+2s+PERF+kuja	you have not come	hujaja
2p+PRES+kuja	you come	mnakuja
2p+PAST+kuja	you came	mlikuja
2p+FUT+kuja	you will come	mtakuja
2p+PERF+kuja	you have come	mmekuja
NEG+2p+PRES+kuja	you do not come	hamji
NEG+2p+PAST+kuja	you did not come	hamkuja
NEG+2p+FUT+kuja	you will not come	hamtakuja
NEG+2p+PERF+kuja	you have not come	hamjaja
3s+PRES+kuja	(s)he comes	anakuja
3s+PAST+kuja	(s)he came	alikuja
3s+FUT+kuja	(s)he will come	atakuja
3s+PERF+kuja	(s)he has come	amekuja
NEG+3s+PRES+kuja	(s)he does not come	haji
NEG+3s+PAST+kuja	(s)he did not come	hakuja
NEG+3s+FUT+kuja	(s)he will not come	hatakuja
NEG+3s+PERF+kuja	(s)he has not come	hajaja
3p+PRES+kuja	they come	wanakuja
3p+PAST+kuja	they came	walikuja
3p+FUT+kuja	they will come	watakuja
3p+PERF+kuja	they have come	wamekuja
NEG+3p+PRES+kuja	they do not come	hawaji
NEG+3p+PAST+kuja	they did not come	hawakuja
NEG+3p+FUT+kuja	they will not come	hawatakuja
NEG+3p+PERF+kuja	they have not come	hawajaja
2s+IMP+kuja	come	njoo
2p+IMP+kuja	come	njooni
1s+PRES+kujali	I care	ninajali
1s+PAST+kujali	I cared	nilijali
1s+FUT+kujali	I will care	nitajali
1s+PERF+kujali	I have cared	nimejali
NEG+1s+PRES+kujali	I do not care	sijali
NEG+1s+PAST+kujali	I did not care	sikujali
NEG+1s+FUT+kujali	I will not care	sitajali
NEG+1s+PERF+kujali	I have not cared	sijajali
1p+PRES+kujali	we care	tunajali
1p+PAST+kujali	we cared	tulijali
1p+FUT+kujali	we will care	tutajali
1p+PERF+kujali	we have cared	tumejali
NEG+1p+PRES+kujali	we do not care	hatujali
NEG+1p+PAST+kujali	we did not care	hatukujali
NEG+1p+FUT+kujali	we will not care	hatutajali
NEG+1p+PERF+kujali	we have not cared	hatujajali
2s+PRES+kujali	you care	unajali
2s+PAST+kujali	you cared	ulijali
2s+FUT+kujali	you will care	utajali
2s+PERF+kujali	you have cared	umejali
NEG+2s+PRES+kujali	you do not care	hujali
NEG+2s+PAST+kujali	you did not care	hukujali
NEG+2s+FUT+kujali	you will not care	hutajali
NEG+2s+PERF+kujali	you have not cared	hujajali
2p+PRES+kujali	you care	mnajali
2p+PAST+kujali	you cared	mlijali
2p+FUT+kujali	you will care	mtajali
2p+PERF+kujali	you have cared	mmejali
NEG+2p+PRES+kujali	you do not care	hamjali
NEG+2p+PAST+kujali	you did not care	hamkujali
NEG+2p+FUT+kujali	you will not care	hamtajali
NEG+2p+PERF+kujali	you have not cared	hamjajali
3s+PRES+kujali	(s)he cares	anajali
3s+PAST+kujali	(s)he cared	alijali
3s+FUT+kujali	(s)he will care	atajali
3s+PERF+kujali	(s)he has cared	amejali
NEG+3s+PRES+kujali	(s)he does not care	hajali
NEG+3s+PAST+kujali	(s)he did not care	hakujali
NEG+3s+FUT+kujali	(s)he will not care	hatajali
NEG+3s+PERF+kujali	(s)he has not cared	hajajali
3p+PRES+kujali	they care	wanajali
3p+PAST+kujali	they cared	walijali
3p+FUT+kujali	they will care	watajali
3p+PERF+kujali	they have cared	wamejali
NEG+3p+PRES+kujali	they do not care	hawajali
NEG+3p+PAST+kujali	they did not care	hawakujali
NEG+3p+FUT+kujali	they will not care	hawatajali
NEG+3p+PERF+kujali	they have not cared	hawajajali
2s+IMP+kujali	care	jali
2p+IMP+kujali	care	jalini
1s+PRES+kujaribu	I try	ninajaribu
1s+PAST+kujaribu	I tried	nilijaribu
1s+FUT+kujaribu	I will try	nitajaribu
1s+PERF+kujaribu	I have tried	nimejaribu
NEG+1s+PRES+kujaribu	I do not try	sijaribu
NEG+1s+PAST+kujaribu	I did not try	sikujaribu
NEG+1s+FUT+kujaribu	I will not try	sitajaribu
NEG+1s+PERF+kujaribu	I have not tried	sijajaribu
1p+PRES+kujaribu	we try	tunajaribu
1p+PAST+kujaribu	we tried	tulijaribu
1p+FUT+kujaribu	we will try	tutajaribu
1p+PERF+kujaribu	we have tried	tumejaribu
NEG+1p+PRES+kujaribu	we do not try	hatujaribu
NEG+1p+PAST+kujaribu	we did not try	hatukujaribu
NEG+1p+FUT+kujaribu	we will not try	hatutajaribu
NEG+1p+PERF+kujaribu	we have not tried	hatujajaribu
2s+PRES+kujaribu	you try	unajaribu
2s+PAST+kujaribu	you tried	ulijaribu
2s+FUT+kujaribu	you will try	utajaribu
2s+PERF+kujaribu	you have tried	umejaribu
NEG+2s+PRES+kujaribu	you do not try	hujaribu
NEG+2s+PAST+kujaribu	you did not try	hukujaribu
NEG+2s+FUT+kujaribu	you will not try	hutajaribu
NEG+2s+PERF+kujaribu	you have not tried	hujajaribu
2p+PRES+kujaribu	you try	mnajaribu
2p+PAST+kujaribu	you tried	mlijaribu
2p+FUT+kujaribu	you will try	mtajaribu
2p+PERF+kujaribu	you have tried	mmejaribu
NEG+2p+PRES+kujaribu	you do not try	hamjaribu
NEG+2p+PAST+kujaribu	you did not try	hamkujaribu
